split,sample_id,rollout_index,pc1,pc2,cap_hit,loop_flag,correct,finish_reason,length,relative_length,first_loop_prefix_length
test,7,2,4.578364372253418,-1.7805252075195312,0,1,0,stop,9364,0.3121333333333333,8668
test,7,3,4.578364372253418,-1.7805252075195312,0,1,0,stop,9299,0.30996666666666667,3038
test,7,4,4.578364372253418,-1.7805252075195312,0,1,0,stop,8997,0.2999,4910
test,7,5,4.578364372253418,-1.7805252075195312,0,1,0,stop,8427,0.2809,7115
test,7,6,4.578364372253418,-1.7805252075195312,0,0,0,stop,8242,0.27473333333333333,
test,7,7,4.578364372253418,-1.7805252075195312,0,0,0,stop,9663,0.3221,
test,7,8,4.578364372253418,-1.7805252075195312,0,1,0,stop,5205,0.1735,2726
test,7,9,4.578364372253418,-1.7805252075195312,0,1,0,stop,9418,0.31393333333333334,2915
test,11,0,-6.082462310791016,3.7262909412384033,0,0,1,stop,4130,0.13766666666666666,
test,11,1,-6.082462310791016,3.7262909412384033,0,0,1,stop,4843,0.16143333333333335,
test,11,2,-6.082462310791016,3.7262909412384033,0,0,1,stop,3730,0.12433333333333334,
test,11,3,-6.082462310791016,3.7262909412384033,0,0,1,stop,6504,0.2168,
test,11,4,-6.082462310791016,3.7262909412384033,0,0,1,stop,4528,0.15093333333333334,
test,11,5,-6.082462310791016,3.7262909412384033,0,0,1,stop,4274,0.14246666666666666,
test,11,6,-6.082462310791016,3.7262909412384033,0,0,1,stop,8608,0.2869333333333333,
test,11,7,-6.082462310791016,3.7262909412384033,0,0,1,stop,4408,0.14693333333333333,
test,11,8,-6.082462310791016,3.7262909412384033,0,0,1,stop,3710,0.12366666666666666,
test,11,9,-6.082462310791016,3.7262909412384033,0,0,1,stop,3694,0.12313333333333333,
test,12,0,8.457109451293945,2.964627981185913,0,0,0,stop,6825,0.2275,
test,12,1,8.457109451293945,2.964627981185913,0,0,0,stop,7435,0.24783333333333332,
test,12,2,8.457109451293945,2.964627981185913,0,0,0,stop,7060,0.23533333333333334,
test,12,3,8.457109451293945,2.964627981185913,0,1,0,stop,8556,0.2852,3831
test,12,4,8.457109451293945,2.964627981185913,0,0,0,stop,5351,0.17836666666666667,
test,12,5,8.457109451293945,2.964627981185913,0,0,0,stop,7221,0.2407,
test,12,6,8.457109451293945,2.964627981185913,0,0,0,stop,8769,0.2923,
test,12,7,8.457109451293945,2.964627981185913,0,0,0,stop,6745,0.22483333333333333,
test,12,8,8.457109451293945,2.964627981185913,0,0,0,stop,6226,0.20753333333333332,
test,12,9,8.457109451293945,2.964627981185913,0,0,0,stop,5833,0.19443333333333335,
test,14,0,-2.8380966186523438,-0.3330974876880646,0,1,0,stop,12949,0.4316333333333333,10070
test,14,1,-2.8380966186523438,-0.3330974876880646,0,1,1,stop,9866,0.32886666666666664,7089
test,14,2,-2.8380966186523438,-0.3330974876880646,0,0,0,stop,6795,0.2265,
test,14,3,-2.8380966186523438,-0.3330974876880646,1,1,0,length,30000,1.0,6222
test,14,4,-2.8380966186523438,-0.3330974876880646,0,1,0,stop,8394,0.2798,3355
test,14,5,-2.8380966186523438,-0.3330974876880646,0,1,0,stop,11114,0.37046666666666667,1801
test,14,6,-2.8380966186523438,-0.3330974876880646,0,1,0,stop,9505,0.31683333333333336,1789
test,14,7,-2.8380966186523438,-0.3330974876880646,0,1,0,stop,7762,0.2587333333333333,6925
test,14,8,-2.8380966186523438,-0.3330974876880646,0,1,0,stop,10508,0.35026666666666667,2950
test,14,9,-2.8380966186523438,-0.3330974876880646,0,1,0,stop,8094,0.2698,4398
test,20,0,6.8856987953186035,-2.67262601852417,0,1,1,stop,10931,0.36436666666666667,10117
test,20,1,6.8856987953186035,-2.67262601852417,0,1,0,stop,13631,0.45436666666666664,10474
test,20,2,6.8856987953186035,-2.67262601852417,0,0,0,stop,8489,0.28296666666666664,
test,20,3,6.8856987953186035,-2.67262601852417,0,1,0,stop,11488,0.38293333333333335,10368
test,20,4,6.8856987953186035,-2.67262601852417,0,1,0,stop,11061,0.3687,4959
test,20,5,6.8856987953186035,-2.67262601852417,0,1,0,stop,12495,0.4165,7129
test,20,6,6.8856987953186035,-2.67262601852417,0,1,0,stop,8819,0.29396666666666665,4322
test,20,7,6.8856987953186035,-2.67262601852417,0,1,0,stop,11385,0.3795,4743
test,20,8,6.8856987953186035,-2.67262601852417,1,1,0,length,30000,1.0,8153
test,20,9,6.8856987953186035,-2.67262601852417,0,1,0,stop,11790,0.393,9161
test,23,0,3.523080348968506,4.4689621925354,0,0,0,stop,10624,0.35413333333333336,
test,23,1,3.523080348968506,4.4689621925354,0,0,0,stop,11644,0.38813333333333333,
test,23,2,3.523080348968506,4.4689621925354,0,0,0,stop,11243,0.3747666666666667,
test,23,3,3.523080348968506,4.4689621925354,0,1,0,stop,11482,0.3827333333333333,5733
test,23,4,3.523080348968506,4.4689621925354,0,0,0,stop,11645,0.38816666666666666,
test,23,5,3.523080348968506,4.4689621925354,0,0,0,stop,13723,0.45743333333333336,
test,23,6,3.523080348968506,4.4689621925354,0,0,0,stop,11202,0.3734,
test,23,7,3.523080348968506,4.4689621925354,0,1,0,stop,11514,0.3838,3952
test,23,8,3.523080348968506,4.4689621925354,0,0,0,stop,11817,0.3939,
test,23,9,3.523080348968506,4.4689621925354,0,0,0,stop,13839,0.4613,
test,28,0,1.3892990350723267,-5.396817684173584,1,1,0,length,30000,1.0,13283
test,28,1,1.3892990350723267,-5.396817684173584,0,0,0,stop,10076,0.33586666666666665,
test,28,2,1.3892990350723267,-5.396817684173584,1,1,0,length,30000,1.0,5535
test,28,3,1.3892990350723267,-5.396817684173584,0,1,0,stop,10682,0.35606666666666664,7562
test,28,4,1.3892990350723267,-5.396817684173584,1,1,0,length,30000,1.0,4393
test,28,5,1.3892990350723267,-5.396817684173584,0,1,0,stop,9991,0.33303333333333335,8325
test,28,6,1.3892990350723267,-5.396817684173584,0,1,0,stop,12933,0.4311,4520
test,28,7,1.3892990350723267,-5.396817684173584,1,1,0,length,30000,1.0,6450
test,28,8,1.3892990350723267,-5.396817684173584,1,1,0,length,30000,1.0,7338
test,28,9,1.3892990350723267,-5.396817684173584,1,1,0,length,30000,1.0,7188
test,33,0,4.505465030670166,-1.2316021919250488,1,1,0,length,30000,1.0,6807
test,33,1,4.505465030670166,-1.2316021919250488,0,0,0,stop,10277,0.3425666666666667,
test,33,2,4.505465030670166,-1.2316021919250488,0,0,0,stop,10345,0.3448333333333333,
test,33,3,4.505465030670166,-1.2316021919250488,0,0,0,stop,8206,0.27353333333333335,
test,33,4,4.505465030670166,-1.2316021919250488,0,0,0,stop,7356,0.2452,
test,33,5,4.505465030670166,-1.2316021919250488,0,0,0,stop,11824,0.39413333333333334,
test,33,6,4.505465030670166,-1.2316021919250488,0,0,0,stop,11779,0.39263333333333333,
test,33,7,4.505465030670166,-1.2316021919250488,0,1,0,stop,8371,0.27903333333333336,5531
test,33,8,4.505465030670166,-1.2316021919250488,0,0,0,stop,9049,0.3016333333333333,
test,33,9,4.505465030670166,-1.2316021919250488,0,0,0,stop,8279,0.2759666666666667,
test,36,0,7.3823652267456055,6.860532283782959,0,0,0,stop,5375,0.17916666666666667,
test,36,1,7.3823652267456055,6.860532283782959,0,0,1,stop,5811,0.1937,
test,36,2,7.3823652267456055,6.860532283782959,0,0,0,stop,8239,0.27463333333333334,
test,36,3,7.3823652267456055,6.860532283782959,0,0,0,stop,5832,0.1944,
test,36,4,7.3823652267456055,6.860532283782959,0,1,1,stop,7731,0.2577,3931
test,36,5,7.3823652267456055,6.860532283782959,0,0,1,stop,4637,0.15456666666666666,
test,36,6,7.3823652267456055,6.860532283782959,0,1,0,stop,7299,0.2433,4094
test,36,7,7.3823652267456055,6.860532283782959,0,1,1,stop,5660,0.18866666666666668,3811
test,36,8,7.3823652267456055,6.860532283782959,0,0,1,stop,7615,0.25383333333333336,
test,36,9,7.3823652267456055,6.860532283782959,0,0,1,stop,6375,0.2125,
test,42,0,7.253256320953369,0.6633298397064209,0,0,0,stop,9144,0.3048,
test,42,1,7.253256320953369,0.6633298397064209,0,1,0,stop,12522,0.4174,10361
test,42,2,7.253256320953369,0.6633298397064209,0,0,1,stop,13739,0.4579666666666667,
test,42,3,7.253256320953369,0.6633298397064209,0,0,0,stop,11603,0.38676666666666665,
test,42,4,7.253256320953369,0.6633298397064209,0,0,0,stop,13150,0.43833333333333335,
test,42,5,7.253256320953369,0.6633298397064209,0,1,0,stop,14255,0.4751666666666667,10940
test,42,6,7.253256320953369,0.6633298397064209,0,0,0,stop,13423,0.44743333333333335,
test,42,7,7.253256320953369,0.6633298397064209,0,0,0,stop,8637,0.2879,
test,42,8,7.253256320953369,0.6633298397064209,0,1,0,stop,14199,0.4733,11943
test,42,9,7.253256320953369,0.6633298397064209,0,0,0,stop,9885,0.3295,
test,44,0,-3.454078435897827,-0.18615615367889404,0,1,0,stop,7818,0.2606,3779
test,44,1,-3.454078435897827,-0.18615615367889404,0,1,1,stop,9518,0.31726666666666664,6163
test,44,2,-3.454078435897827,-0.18615615367889404,0,1,1,stop,9917,0.3305666666666667,6756
test,44,3,-3.454078435897827,-0.18615615367889404,0,1,1,stop,12338,0.41126666666666667,9172
test,44,4,-3.454078435897827,-0.18615615367889404,0,0,1,stop,6156,0.2052,
test,44,5,-3.454078435897827,-0.18615615367889404,0,1,1,stop,11313,0.3771,7039
test,44,6,-3.454078435897827,-0.18615615367889404,0,0,1,stop,11105,0.37016666666666664,
test,44,7,-3.454078435897827,-0.18615615367889404,0,0,1,stop,3849,0.1283,
test,44,8,-3.454078435897827,-0.18615615367889404,0,0,1,stop,4466,0.14886666666666667,
test,44,9,-3.454078435897827,-0.18615615367889404,0,1,1,stop,11392,0.3797333333333333,9499
test,46,0,4.467349529266357,0.4126976430416107,0,0,0,stop,10330,0.3443333333333333,
test,46,1,4.467349529266357,0.4126976430416107,1,1,0,length,30000,1.0,4792
test,46,2,4.467349529266357,0.4126976430416107,0,0,0,stop,8053,0.26843333333333336,
test,46,3,4.467349529266357,0.4126976430416107,1,1,0,length,30000,1.0,3105
test,46,4,4.467349529266357,0.4126976430416107,1,1,0,length,30000,1.0,884
test,46,5,4.467349529266357,0.4126976430416107,0,0,1,stop,10472,0.3490666666666667,
test,46,6,4.467349529266357,0.4126976430416107,0,1,0,stop,11500,0.38333333333333336,10425
test,46,7,4.467349529266357,0.4126976430416107,0,0,0,stop,8685,0.2895,
test,46,8,4.467349529266357,0.4126976430416107,0,1,0,stop,12581,0.41936666666666667,12303
test,46,9,4.467349529266357,0.4126976430416107,0,0,0,stop,11014,0.3671333333333333,
test,47,0,5.971863746643066,7.43684196472168,0,0,1,stop,11664,0.3888,
test,47,1,5.971863746643066,7.43684196472168,0,0,1,stop,6948,0.2316,
test,47,2,5.971863746643066,7.43684196472168,0,0,0,stop,10941,0.3647,
test,47,3,5.971863746643066,7.43684196472168,0,0,1,stop,9078,0.3026,
test,47,4,5.971863746643066,7.43684196472168,0,0,1,stop,8891,0.29636666666666667,
test,47,5,5.971863746643066,7.43684196472168,0,0,1,stop,7489,0.24963333333333335,
test,47,6,5.971863746643066,7.43684196472168,0,0,1,stop,8910,0.297,
test,47,7,5.971863746643066,7.43684196472168,0,0,1,stop,6821,0.22736666666666666,
test,47,8,5.971863746643066,7.43684196472168,0,1,1,stop,9599,0.3199666666666667,6206
test,47,9,5.971863746643066,7.43684196472168,0,1,1,stop,11959,0.39863333333333334,8649
train,2,0,-7.385384559631348,3.944695234298706,0,0,1,stop,2883,0.0961,
train,2,1,-7.385384559631348,3.944695234298706,0,1,1,stop,18557,0.6185666666666667,15098
train,2,2,-7.385384559631348,3.944695234298706,0,0,1,stop,16553,0.5517666666666666,
train,2,3,-7.385384559631348,3.944695234298706,0,0,1,stop,3112,0.10373333333333333,
train,2,4,-7.385384559631348,3.944695234298706,0,0,1,stop,2911,0.09703333333333333,
train,2,5,-7.385384559631348,3.944695234298706,0,0,1,stop,5079,0.1693,
train,2,6,-7.385384559631348,3.944695234298706,0,0,1,stop,3048,0.1016,
train,2,7,-7.385384559631348,3.944695234298706,0,0,1,stop,4594,0.15313333333333334,
train,2,8,-7.385384559631348,3.944695234298706,0,0,1,stop,3338,0.11126666666666667,
train,2,9,-7.385384559631348,3.944695234298706,0,0,1,stop,5482,0.18273333333333333,
train,3,0,-4.717289447784424,-4.004043102264404,0,0,0,stop,1719,0.0573,
train,3,1,-4.717289447784424,-4.004043102264404,0,0,0,stop,1200,0.04,
train,3,2,-4.717289447784424,-4.004043102264404,0,0,0,stop,1188,0.0396,
train,3,3,-4.717289447784424,-4.004043102264404,0,0,0,stop,2120,0.07066666666666667,
train,3,4,-4.717289447784424,-4.004043102264404,0,0,0,stop,1185,0.0395,
train,3,5,-4.717289447784424,-4.004043102264404,0,0,0,stop,776,0.025866666666666666,
train,3,6,-4.717289447784424,-4.004043102264404,0,0,0,stop,1675,0.05583333333333333,
train,3,7,-4.717289447784424,-4.004043102264404,0,0,0,stop,1496,0.04986666666666666,
train,3,8,-4.717289447784424,-4.004043102264404,0,0,0,stop,1185,0.0395,
train,3,9,-4.717289447784424,-4.004043102264404,0,0,0,stop,1637,0.054566666666666666,
train,4,0,-7.340160369873047,1.8738499879837036,0,1,0,stop,14040,0.468,7574
train,4,1,-7.340160369873047,1.8738499879837036,0,1,0,stop,15170,0.5056666666666667,8470
train,4,2,-7.340160369873047,1.8738499879837036,0,1,1,stop,10539,0.3513,5922
train,4,3,-7.340160369873047,1.8738499879837036,0,1,0,stop,14401,0.4800333333333333,9313
train,4,4,-7.340160369873047,1.8738499879837036,0,0,1,stop,14739,0.4913,
train,4,5,-7.340160369873047,1.8738499879837036,0,0,1,stop,13658,0.45526666666666665,
train,4,6,-7.340160369873047,1.8738499879837036,0,1,0,stop,18140,0.6046666666666667,12324
train,4,7,-7.340160369873047,1.8738499879837036,0,1,0,stop,10218,0.3406,7544
train,4,8,-7.340160369873047,1.8738499879837036,0,0,0,stop,12672,0.4224,
train,4,9,-7.340160369873047,1.8738499879837036,0,0,1,stop,7239,0.2413,
train,6,0,-7.52345085144043,1.8882286548614502,0,1,1,stop,7253,0.24176666666666666,1562
train,6,1,-7.52345085144043,1.8882286548614502,1,1,0,length,30000,1.0,6039
train,6,2,-7.52345085144043,1.8882286548614502,0,1,1,stop,10186,0.33953333333333335,6349
train,6,3,-7.52345085144043,1.8882286548614502,0,1,0,stop,9225,0.3075,4207
train,6,4,-7.52345085144043,1.8882286548614502,0,1,1,stop,10538,0.35126666666666667,3103
train,6,5,-7.52345085144043,1.8882286548614502,0,1,0,stop,14562,0.4854,4113
train,6,6,-7.52345085144043,1.8882286548614502,0,1,1,stop,10736,0.35786666666666667,4582
train,6,7,-7.52345085144043,1.8882286548614502,0,0,1,stop,8789,0.29296666666666665,
train,6,8,-7.52345085144043,1.8882286548614502,0,1,1,stop,11308,0.37693333333333334,4768
train,6,9,-7.52345085144043,1.8882286548614502,0,1,0,stop,16628,0.5542666666666667,13482
train,8,0,1.4658966064453125,-6.433079242706299,0,0,0,stop,2311,0.07703333333333333,
train,8,1,1.4658966064453125,-6.433079242706299,0,0,0,stop,1944,0.0648,
train,8,2,1.4658966064453125,-6.433079242706299,0,0,1,stop,3250,0.10833333333333334,
train,8,3,1.4658966064453125,-6.433079242706299,0,0,0,stop,1935,0.0645,
train,8,4,1.4658966064453125,-6.433079242706299,0,0,0,stop,2350,0.07833333333333334,
train,8,5,1.4658966064453125,-6.433079242706299,0,0,0,stop,3125,0.10416666666666667,
train,8,6,1.4658966064453125,-6.433079242706299,0,0,0,stop,2556,0.0852,
train,8,7,1.4658966064453125,-6.433079242706299,0,0,0,stop,1750,0.058333333333333334,
train,8,8,1.4658966064453125,-6.433079242706299,0,0,0,stop,2424,0.0808,
train,8,9,1.4658966064453125,-6.433079242706299,0,0,0,stop,2575,0.08583333333333333,
train,9,0,-4.550025939941406,-0.20370662212371826,0,0,1,stop,4896,0.1632,
train,9,1,-4.550025939941406,-0.20370662212371826,0,0,0,stop,3620,0.12066666666666667,
train,9,2,-4.550025939941406,-0.20370662212371826,0,0,1,stop,958,0.031933333333333334,
train,9,3,-4.550025939941406,-0.20370662212371826,0,0,0,stop,5826,0.1942,
train,9,4,-4.550025939941406,-0.20370662212371826,0,0,0,stop,4454,0.14846666666666666,
train,9,5,-4.550025939941406,-0.20370662212371826,0,0,0,stop,4140,0.138,
train,9,6,-4.550025939941406,-0.20370662212371826,0,0,0,stop,3379,0.11263333333333334,
train,9,7,-4.550025939941406,-0.20370662212371826,0,0,1,stop,743,0.024766666666666666,
train,9,8,-4.550025939941406,-0.20370662212371826,0,0,0,stop,5493,0.1831,
train,9,9,-4.550025939941406,-0.20370662212371826,0,0,0,stop,4578,0.1526,
train,10,0,2.731039047241211,-11.012778282165527,0,0,1,stop,1000,0.03333333333333333,
train,10,1,2.731039047241211,-11.012778282165527,0,0,1,stop,1608,0.0536,
train,10,2,2.731039047241211,-11.012778282165527,0,0,1,stop,732,0.0244,
train,10,3,2.731039047241211,-11.012778282165527,0,0,1,stop,771,0.0257,
train,10,4,2.731039047241211,-11.012778282165527,0,0,1,stop,1069,0.035633333333333336,
train,10,5,2.731039047241211,-11.012778282165527,0,0,1,stop,640,0.021333333333333333,
train,10,6,2.731039047241211,-11.012778282165527,0,0,1,stop,765,0.0255,
train,10,7,2.731039047241211,-11.012778282165527,0,0,1,stop,877,0.029233333333333333,
train,10,8,2.731039047241211,-11.012778282165527,0,0,1,stop,894,0.0298,
train,10,9,2.731039047241211,-11.012778282165527,0,0,1,stop,917,0.030566666666666666,
train,13,0,-3.7217466831207275,-4.119330406188965,0,0,1,stop,1675,0.05583333333333333,
train,13,1,-3.7217466831207275,-4.119330406188965,0,0,1,stop,2071,0.06903333333333334,
train,13,2,-3.7217466831207275,-4.119330406188965,0,0,1,stop,2670,0.089,
train,13,3,-3.7217466831207275,-4.119330406188965,0,0,1,stop,4723,0.15743333333333334,
train,13,4,-3.7217466831207275,-4.119330406188965,0,0,1,stop,4411,0.14703333333333332,
train,13,5,-3.7217466831207275,-4.119330406188965,0,1,1,stop,2865,0.0955,2015
train,13,6,-3.7217466831207275,-4.119330406188965,0,0,1,stop,3610,0.12033333333333333,
train,13,7,-3.7217466831207275,-4.119330406188965,0,0,1,stop,2551,0.08503333333333334,
train,13,8,-3.7217466831207275,-4.119330406188965,0,0,1,stop,3542,0.11806666666666667,
train,13,9,-3.7217466831207275,-4.119330406188965,0,0,1,stop,2684,0.08946666666666667,
train,15,0,3.8805530071258545,-0.5617393851280212,1,1,0,length,30000,1.0,3340
train,15,1,3.8805530071258545,-0.5617393851280212,0,1,0,stop,13282,0.4427333333333333,6819
train,15,2,3.8805530071258545,-0.5617393851280212,0,1,0,stop,9759,0.3253,1969
train,15,3,3.8805530071258545,-0.5617393851280212,1,1,0,length,30000,1.0,6569
train,15,4,3.8805530071258545,-0.5617393851280212,1,1,0,length,30000,1.0,8472
train,15,5,3.8805530071258545,-0.5617393851280212,1,1,0,length,30000,1.0,8187
train,15,6,3.8805530071258545,-0.5617393851280212,1,1,0,length,30000,1.0,3410
train,15,7,3.8805530071258545,-0.5617393851280212,1,1,0,length,30000,1.0,4933
train,15,8,3.8805530071258545,-0.5617393851280212,0,1,0,stop,17607,0.5869,1880
train,15,9,3.8805530071258545,-0.5617393851280212,0,1,0,stop,11979,0.3993,2592
train,16,0,-7.746495723724365,2.863633871078491,0,1,1,stop,13431,0.4477,2666
train,16,1,-7.746495723724365,2.863633871078491,0,1,0,stop,11386,0.37953333333333333,6491
train,16,2,-7.746495723724365,2.863633871078491,0,1,1,stop,12272,0.4090666666666667,6874
train,16,3,-7.746495723724365,2.863633871078491,0,0,1,stop,12174,0.4058,
train,16,4,-7.746495723724365,2.863633871078491,0,1,0,stop,11119,0.3706333333333333,6378
train,16,5,-7.746495723724365,2.863633871078491,0,1,1,stop,14256,0.4752,8882
train,16,6,-7.746495723724365,2.863633871078491,0,1,1,stop,14109,0.4703,2488
train,16,7,-7.746495723724365,2.863633871078491,0,1,1,stop,11361,0.3787,7455
train,16,8,-7.746495723724365,2.863633871078491,0,1,0,stop,11308,0.37693333333333334,5912
train,16,9,-7.746495723724365,2.863633871078491,0,1,1,stop,16175,0.5391666666666667,9873
train,17,0,-5.23391580581665,4.335975646972656,0,1,0,stop,12569,0.41896666666666665,12072
train,17,1,-5.23391580581665,4.335975646972656,0,0,0,stop,15199,0.5066333333333334,
train,17,2,-5.23391580581665,4.335975646972656,0,1,0,stop,12249,0.4083,10131
train,17,3,-5.23391580581665,4.335975646972656,0,1,0,stop,15685,0.5228333333333334,9812
train,17,4,-5.23391580581665,4.335975646972656,0,0,0,stop,4237,0.14123333333333332,
train,17,5,-5.23391580581665,4.335975646972656,0,1,0,stop,10834,0.3611333333333333,9625
train,17,6,-5.23391580581665,4.335975646972656,0,1,0,stop,9330,0.311,3726
train,17,7,-5.23391580581665,4.335975646972656,0,0,0,stop,10522,0.35073333333333334,
train,17,8,-5.23391580581665,4.335975646972656,0,1,0,stop,16519,0.5506333333333333,11764
train,17,9,-5.23391580581665,4.335975646972656,0,0,0,stop,5756,0.19186666666666666,
train,18,0,10.90460205078125,3.618603467941284,1,1,0,length,30000,1.0,3173
train,18,1,10.90460205078125,3.618603467941284,0,1,1,stop,9014,0.30046666666666666,2091
train,18,2,10.90460205078125,3.618603467941284,0,0,1,stop,11588,0.38626666666666665,
train,18,3,10.90460205078125,3.618603467941284,1,1,0,length,30000,1.0,6223
train,18,4,10.90460205078125,3.618603467941284,0,0,1,stop,8874,0.2958,
train,18,5,10.90460205078125,3.618603467941284,0,0,0,stop,9298,0.30993333333333334,
train,18,6,10.90460205078125,3.618603467941284,0,1,1,stop,12181,0.40603333333333336,5538
train,18,7,10.90460205078125,3.618603467941284,0,1,0,stop,8549,0.28496666666666665,7822
train,18,8,10.90460205078125,3.618603467941284,0,1,1,stop,5979,0.1993,2324
train,18,9,10.90460205078125,3.618603467941284,1,1,0,length,30000,1.0,2918
train,19,0,-3.937937021255493,-6.2533698081970215,0,0,1,stop,2350,0.07833333333333334,
train,19,1,-3.937937021255493,-6.2533698081970215,0,0,1,stop,3022,0.10073333333333333,
train,19,2,-3.937937021255493,-6.2533698081970215,0,0,1,stop,1884,0.0628,
train,19,3,-3.937937021255493,-6.2533698081970215,0,0,1,stop,2556,0.0852,
train,19,4,-3.937937021255493,-6.2533698081970215,0,0,1,stop,2269,0.07563333333333333,
train,19,5,-3.937937021255493,-6.2533698081970215,0,0,1,stop,2882,0.09606666666666666,
train,19,6,-3.937937021255493,-6.2533698081970215,0,0,1,stop,2938,0.09793333333333333,
train,19,7,-3.937937021255493,-6.2533698081970215,0,0,1,stop,1592,0.053066666666666665,
train,19,8,-3.937937021255493,-6.2533698081970215,0,0,1,stop,1732,0.05773333333333333,
train,19,9,-3.937937021255493,-6.2533698081970215,0,0,1,stop,2864,0.09546666666666667,
train,21,0,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,479,0.015966666666666667,
train,21,1,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,1716,0.0572,
train,21,2,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,418,0.013933333333333334,
train,21,3,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,866,0.028866666666666665,
train,21,4,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,508,0.016933333333333335,
train,21,5,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,1270,0.042333333333333334,
train,21,6,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,988,0.032933333333333335,
train,21,7,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,2436,0.0812,
train,21,8,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,511,0.017033333333333334,
train,21,9,-3.6204183101654053,-2.8283135890960693,0,0,0,stop,398,0.013266666666666666,
train,22,0,1.6083613634109497,-1.292785882949829,0,0,0,stop,9665,0.32216666666666666,
train,22,1,1.6083613634109497,-1.292785882949829,0,0,0,stop,11095,0.36983333333333335,
train,22,2,1.6083613634109497,-1.292785882949829,0,1,0,stop,11442,0.3814,4898
train,22,3,1.6083613634109497,-1.292785882949829,0,1,0,stop,9829,0.32763333333333333,8212
train,22,4,1.6083613634109497,-1.292785882949829,0,1,0,stop,9665,0.32216666666666666,4584
train,22,5,1.6083613634109497,-1.292785882949829,0,0,0,stop,9213,0.3071,
train,22,6,1.6083613634109497,-1.292785882949829,0,1,0,stop,7551,0.2517,5475
train,22,7,1.6083613634109497,-1.292785882949829,1,1,0,length,30000,1.0,3133
train,22,8,1.6083613634109497,-1.292785882949829,0,1,0,stop,10170,0.339,2336
train,22,9,1.6083613634109497,-1.292785882949829,0,1,0,stop,8394,0.2798,4543
train,24,0,9.99515151977539,-1.3483668565750122,0,0,0,stop,7001,0.23336666666666667,
